#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.304602
#Experience summarry : avg : 249.304602 :: std : 0.000000 :: min : 249.304602 :: max : 249.304602 :: median : 249.304602

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.165834
#Experience summarry : avg : 249.165834 :: std : 0.000000 :: min : 249.165834 :: max : 249.165834 :: median : 249.165834

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.071580
#Experience summarry : avg : 249.071580 :: std : 0.000000 :: min : 249.071580 :: max : 249.071580 :: median : 249.071580

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.187587
#Experience summarry : avg : 249.187587 :: std : 0.000000 :: min : 249.187587 :: max : 249.187587 :: median : 249.187587

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 248.810176
#Experience summarry : avg : 248.810176 :: std : 0.000000 :: min : 248.810176 :: max : 248.810176 :: median : 248.810176

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 248.989576
#Experience summarry : avg : 248.989576 :: std : 0.000000 :: min : 248.989576 :: max : 248.989576 :: median : 248.989576

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.290518
#Experience summarry : avg : 249.290518 :: std : 0.000000 :: min : 249.290518 :: max : 249.290518 :: median : 249.290518

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.056718
#Experience summarry : avg : 249.056718 :: std : 0.000000 :: min : 249.056718 :: max : 249.056718 :: median : 249.056718

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 248.987001
#Experience summarry : avg : 248.987001 :: std : 0.000000 :: min : 248.987001 :: max : 248.987001 :: median : 248.987001

